scenario,implementation,stage,shape,median_ms_per_call,p25_ms_per_call,p75_ms_per_call,relative_time_to_fastest,allocation_bytes,allocation_scope,checksum,claim_boundary
crossvalidated-identity-rdm,rsatoolbox-matlab-via-octave-11.1.0,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,1.119295756,1.097361247,1.136938731,3.161720,,unavailable in the Octave court,6.8745905199562758,Octave diagnostic only; not MATLAB performance
crossvalidated-identity-rdm,rsatoolbox-python-0.3.2,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,2.120025000,2.073075000,2.149058200,5.988520,126892.000,tracemalloc Python heap only; excludes most native arrays,6.8745905199562776,one host and fixed shape; no cross-machine threshold
crossvalidated-identity-rdm,scalafim-jvm,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.354014833,0.353084901,0.357489305,1.000000,713004.669,JMH gc.alloc.rate.norm JVM bytes per operation,6.8745905199562776,one host and fixed shape; no cross-machine threshold
observation-correlation,pymvpa-2.6.5.dev1,steady-state-public-call,96 samples x 64 features,1.087810450,1.083831250,1.089662500,5.709041,437333.000,tracemalloc Python heap only; excludes most native arrays,4571.0002234315361,one host and fixed shape; no cross-machine threshold
observation-correlation,rsatoolbox-python-0.3.2,steady-state-public-call,96 samples x 64 features,0.190541700,0.186837500,0.192316650,1.000000,344392.000,tracemalloc Python heap only; excludes most native arrays,4571.0002234315361,one host and fixed shape; no cross-machine threshold
observation-correlation,scalafim-jvm,steady-state-public-call,96 samples x 64 features,3.655056338,3.624462177,3.753682915,19.182448,5155431.352,JMH gc.alloc.rate.norm JVM bytes per operation,4571.0002234315361,one host and fixed shape; no cross-machine threshold
predictive-centroid-loro,pymvpa-2.6.5.dev1,steady-state-public-call,8 runs x 4 classes x 32 features; 32 samples,2.202541600,2.183166600,2.244358400,1.000000,54622.000,tracemalloc Python heap only; excludes most native arrays,32,one host and fixed shape; no cross-machine threshold
predictive-centroid-loro,scalafim-jvm,steady-state-public-call,8 runs x 4 classes x 32 features; 32 samples,2.431243057,2.390685436,2.504292210,1.103835,4992056.034,JMH gc.alloc.rate.norm JVM bytes per operation,32,numeric schedule benchmark; run-axis receipt defect remains
predictive-fixed-support-frame,pymvpa-2.6.5.dev1,steady-state-public-call,16 supports x 8 features; 8 runs x 4 classes,33.833375000,33.670750000,33.887417000,1.060063,125868.000,tracemalloc Python heap only; excludes most native arrays,512,one host and fixed shape; no cross-machine threshold
predictive-fixed-support-frame,scalafim-jvm,steady-state-public-call,16 supports x 8 features; 8 runs x 4 classes,31.916375000,31.173022059,32.613710938,1.000000,62708150.013,JMH gc.alloc.rate.norm JVM bytes per operation,512,numeric schedule benchmark; run-axis receipt defect remains
rsa-intercepted-ols-query,rsatoolbox-matlab-via-octave-11.1.0,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.429816246,0.427980423,0.433201790,37.781892,,unavailable in the Octave court,0.22064725063086715,Octave diagnostic only; not MATLAB performance
rsa-intercepted-ols-query,rsatoolbox-python-0.3.2,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.011376250,0.010980420,0.011435000,1.000000,9676.000,tracemalloc Python heap only; excludes most native arrays,0.22064725063086724,one host and fixed shape; no cross-machine threshold
rsa-intercepted-ols-query,scalafim-jvm,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.020992618,0.020549400,0.021436734,1.845302,59048.406,JMH gc.alloc.rate.norm JVM bytes per operation,0.22064725063086724,one host and fixed shape; no cross-machine threshold
rsa-pearson-query,rsatoolbox-matlab-via-octave-11.1.0,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.294060707,0.291719437,0.295639038,36.527888,,unavailable in the Octave court,-0.11748100095173236,Octave diagnostic only; not MATLAB performance
rsa-pearson-query,rsatoolbox-python-0.3.2,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.028948750,0.028492500,0.030039170,3.595981,4212.000,tracemalloc Python heap only; excludes most native arrays,-0.11748100095173242,one host and fixed shape; no cross-machine threshold
rsa-pearson-query,scalafim-jvm,steady-state-public-call,8 partitions x 8 effects x 64 features; 28 RDM pairs,0.008050307,0.007980220,0.008219077,1.000000,23328.142,JMH gc.alloc.rate.norm JVM bytes per operation,-0.11748100095173242,one host and fixed shape; no cross-machine threshold
