case	domain	row_one_based	col_one_based	value
pca_exact_rank_two	X	1	1	-6.5
pca_exact_rank_two	X	2	1	-3.5
pca_exact_rank_two	X	3	1	-2.5
pca_exact_rank_two	X	4	1	0.5
pca_exact_rank_two	X	5	1	0.5
pca_exact_rank_two	X	6	1	1.5
pca_exact_rank_two	X	7	1	4.5
pca_exact_rank_two	X	8	1	5.5
pca_exact_rank_two	X	1	2	3.5
pca_exact_rank_two	X	2	2	4
pca_exact_rank_two	X	3	2	0.5
pca_exact_rank_two	X	4	2	1
pca_exact_rank_two	X	5	2	1
pca_exact_rank_two	X	6	2	-2.5
pca_exact_rank_two	X	7	2	-2
pca_exact_rank_two	X	8	2	-5.5
pca_exact_rank_two	X	1	3	-0.8
pca_exact_rank_two	X	2	3	0.8
pca_exact_rank_two	X	3	3	-0.8
pca_exact_rank_two	X	4	3	0.8
pca_exact_rank_two	X	5	3	0.8
pca_exact_rank_two	X	6	3	-0.8
pca_exact_rank_two	X	7	3	0.8
pca_exact_rank_two	X	8	3	-0.8
pca_exact_rank_two	X	1	4	-0.7
pca_exact_rank_two	X	2	4	-0.8
pca_exact_rank_two	X	3	4	-0.1
pca_exact_rank_two	X	4	4	-0.2
pca_exact_rank_two	X	5	4	-0.2
pca_exact_rank_two	X	6	4	0.5
pca_exact_rank_two	X	7	4	0.4
pca_exact_rank_two	X	8	4	1.1
