family	statistic	index	value
cca	canonical_correlation	1	0.999999999488585
cca	canonical_correlation	2	0.25855377417987
generalized_eigen	root	1	9
generalized_eigen	root	2	2
generalized_eigen	root	3	0.25
rrr	gain	1	0.999601118402633
rrr	model_sse	2	0.0530612244897965
rrr	baseline_sse	3	133.025
cpca	constrained_root	1	46.363616355024
cpca	constrained_root	2	0.469716978309392
multiblock	consensus_root	1	1.91124618646884
multiblock	consensus_root	2	0.0845520666357012
multiblock	consensus_root	3	0.00312312526902341
multiblock	consensus_root	4	0.00107862162643265
multiblock	consensus_root	5	7.84823615940505e-17
multiblock	consensus_root	6	0
feature	raw_p	1	0.3
feature	raw_p	2	0.5
feature	raw_p	3	0.5
feature	raw_p	4	0.6
feature	bh_p	1	0.6
feature	bh_p	2	0.6
feature	bh_p	3	0.6
feature	bh_p	4	0.6
feature	holm_p	1	1
feature	holm_p	2	1
feature	holm_p	3	1
feature	holm_p	4	1
