key	value
fixture_schema	scalafim-inference-r-v1
reference	multifer
reference_commit	b42afa827ebe4f38fa5236423e758026c6a6c551
reference_dirty	true
reference_source_files_dirty	false
r_version	R version 4.5.1 (2025-06-13)
rng_kind	Mersenne-Twister/Inversion/Rejection
package_multifer	1.0.0
package_multivarious	0.3.1
package_clue	0.3.68
package_RSpectra	0.16.2
sha256_R/mc_pvalue.R	60d8c91f306c011356f500fd1288906cfec3612c52a325551a630b996556f647
sha256_R/mc_sequential.R	34594e90fe695c11ea2a84c02a2046b6629a338a6b21c4f5a839970e21be642e
sha256_R/unit_formation.R	3e9e57aa8ac56ef316a3daba44ec5ba0b27b3bb5be714ea11863a9b4ecd3d028
sha256_R/alignment.R	479534f54b0339983a03d5899f702b1eb3e228f5d764e98d40e3b44f2de13c00
sha256_R/infer_plan.R	a6cf8625631ddbbeb400102bda0a43f7063e026297a990cc214b8bfcaf004b58
sha256_R/engine_oneblock.R	62b322f11b16987b450e0fbcdf947dcbab92b83bcb46d5fe3012812f9e9d8bd1
sha256_R/engine_cross.R	2b6bfe392177af07d598be4dff51d83216843958f56b34f0b5c56a479e9bb706
