"mode","sample","estimate","se","stat","p","tau","q","b0","b1","b2","b3","se0","se1","se2","se3"
"OLS",0,-0.313342969289351,0.119801030353568,-2.61552816669927,0.0165607400949199,NA,NA,0.425485363368285,0.294623019939957,0.85111045505591,-0.912053808506763,0.0581812790201233,0.0576920277766838,0.200151433359288,0.0846141678845394
"OLS",1,-0.0928105724546537,0.254243379877521,-0.365046171504502,0.718908788374652,NA,NA,0.818828204796812,-0.231728417319317,-0.147718515419701,0.325292935774064,0.123473103528552,0.122434807869706,0.424764100562515,0.179569340639219
"OLS",2,0.819069069326848,0.258572217639374,3.16766076728781,0.00484027290986804,NA,NA,-0.246032289362869,0.887564104471148,0.156084336864364,0.0477356664394104,0.125575400286033,0.12451942623785,0.431996284461582,0.182626751782057
"OLS",3,0.158047335585124,0.259937402527157,0.608020754414563,0.550016639546797,NA,NA,1.00650890669012,-0.015241097910506,-0.077756476653611,0.672050975844124,0.126238401285572,0.125176852006509,0.43427709716648,0.183590967055894
"OLS",4,0.362454546137049,0.262399586764522,1.38130761029863,0.182423360375306,NA,NA,-0.0367482864640316,0.762501461453305,0.618150339073928,-0.454858728896459,0.127434159182564,0.126362554675293,0.438390665329031,0.185329981067778
"OLS",5,-0.237532072809739,0.26430370614354,-0.898708823555953,0.379500633200708,NA,NA,0.493625395742263,-0.0701871794335649,0.653969214574056,0.79819856955427,0.12835889330673,0.127279512632835,0.441571875222409,0.186674839925276
"OLS",6,0.0158047549733892,0.251680126153355,0.0627969924163142,0.950551528557824,NA,NA,-0.723487307087367,0.00343383583197733,0.224933653087926,0.624188728426874,0.122228261312379,0.121200433635888,0.42048167573327,0.177758942345422
"FE",0,-0.299704362011276,0.14219615243282,-2.10768264037854,0.0350584498809226,0,14.8114302346161,0.429213650708524,0.260892992754199,0.768728405244748,-0.881165760715507,0.0694126562412934,0.0690491195149677,0.235211833907951,0.0977336644448698
"FE",1,-0.0624901409573286,0.148520662331081,-0.420750486676568,0.673937290605708,0,55.1068422070783,0.928695361941059,-0.215934057155734,-0.18891564792482,0.294930461179978,0.0724641280482775,0.0721174923804419,0.245430919446356,0.101994726103706
"FE",2,0.593740909160902,0.154556218665431,3.8415853744855,0.000122242202909891,0,53.8121792453027,-0.233778675419105,0.855935770897948,0.541302642829568,0.0422822983886894,0.0753722229162775,0.0750437700665769,0.255178473500606,0.106068760396095
"FE",3,0.0274256617912094,0.16034158418938,0.17104522154912,0.864188207849823,0,41.6670781392728,1.00371049666884,-0.128954534950502,-0.0746280552623904,0.59533084555258,0.0781568900853353,0.0778474439325216,0.264519015352543,0.109979838802247
"FE",4,0.445244898176262,0.165907293806709,2.68369694882129,0.0072813074550085,0,49.498747744571,-0.0408370334784642,0.80107045650192,0.519133297957105,-0.481294546735527,0.0808337109880315,0.080543766542611,0.273503125176746,0.113747097889474
"FE",5,-0.260211627448578,0.171277944556891,-1.51923604712659,0.128703090861228,0,51.0559384891778,0.383781908361865,-0.0495783868125007,0.751396038432972,0.825323892902046,0.0834151433897469,0.0831449583064507,0.282171373253458,0.117386076115873
"FE",6,0.018449374923809,0.176473721019001,0.104544601979705,0.916737174913045,0,42.2961245380484,-0.729568358675281,0.0333559071589252,0.306034328461574,0.690553159978353,0.0859113431186811,0.0856610032769279,0.290556926308704,0.120909613472114
"DL",0,-0.299704362011276,0.14219615243282,-2.10768264037854,0.0350584498809226,0,14.8114302346161,0.429213650708524,0.260892992754199,0.768728405244748,-0.881165760715507,0.0694126562412934,0.0690491195149677,0.235211833907951,0.0977336644448698
"DL",1,-0.0944953274233589,0.252716471677018,-0.373918355207681,0.708465059916481,0.223141350917879,55.1068422070783,0.85724863443882,-0.225852547781185,-0.136663129063565,0.315128279130217,0.123345681009624,0.122356199318552,0.421376390252658,0.176281543460277
"DL",2,0.735192261701475,0.260228267283857,2.82518217323227,0.00472537414237515,0.233024591553296,53.8121792453027,-0.239506686654278,0.87707255684986,0.301745229767233,0.0449615986761569,0.127037682519981,0.126024567141678,0.4338179770665,0.1813901724194
"DL",3,0.0907191524464104,0.237557700672224,0.381882600268061,0.702548446938257,0.160880076254432,41.6670781392728,1.00593007444251,-0.0789864555776079,-0.0875228119153178,0.629721010331797,0.116066674797442,0.115177698014444,0.395553134294509,0.164972901524607
"DL",4,0.389733112881061,0.268470721747509,1.45167826995897,0.146591084157089,0.234709276686693,49.498747744571,-0.0361140825331113,0.775593523072551,0.583908917243595,-0.469529757848464,0.131119199545656,0.130090965362059,0.447325852360386,0.186805259170588
"DL",5,-0.243974422695628,0.281786821629887,-0.865812039343972,0.386593245840358,0.263557642197856,51.0559384891778,0.456876165712114,-0.0607085174425999,0.690085057786095,0.808883118200097,0.137619809732581,0.136539552894229,0.469526710558114,0.196088756544302
"DL",6,0.0200259750407097,0.264235561912274,0.0757883416440304,0.93958749146824,0.201004841320238,42.2961245380484,-0.724782961638486,0.0158785605856877,0.252495678716005,0.651976269065122,0.129117528874522,0.128140182419053,0.439835943359681,0.183350044013495
